,Total extra views,Average distance,Max distance
https://www.tudelft.nl/en/architecture-and-the-built-environment/research/projects/urbanism/,2057.0,2.05699999999998,4.0
https://www.tudelft.nl/onderwijs/opleidingen/masters/made/msc-metropolitan-analysis-design-and-engineering/,2047.0,2.046999999999985,7.0
http://studenten.tudelft.nl/en/,2045.0,2.0449999999999915,3.0
https://www.tudelft.nl/staff/j.caro/,2038.0,2.0379999999999847,4.0
https://www.tudelft.nl/library/,2035.0,2.034999999999988,8.0
http://www.tnw.tudelft.nl/en/,2034.0,2.0339999999999803,3.0
https://www.tudelft.nl/x/aanbod/ruimte-reserveren-als-x-abonnee/,2033.0,2.0329999999999697,12.0
https://www.tudelft.nl/onderwijs/opleidingen/masters/ae/msc-aerospace-engineering/master-tracks/aerodynamics-wind-energy,2027.0,2.026999999999979,4.0
https://www.tudelft.nl/staff/b.vanloenen/,2008.0,2.007999999999988,6.0
https://www.tudelft.nl/index.php?id=7577,2006.0,2.005999999999994,4.0
https://www.tudelft.nl/studenten/faculteiten/3me-studentenportal/onderwijs/bachelor/bsc-werktuigbouwkunde/,2003.0,2.002999999999999,4.0
https://ocw.tudelft.nl/programs/master/biomedical-engineering/,1994.0,1.9939999999999585,16.0
http://vodocenten.tudelft.nl,1993.0,1.9930000000000012,2.0
http://staff.tudelft.nl/en/M.Cvetkovic,1991.0,1.9909999999999897,3.0
http://universiteitsfonds.tudelft.nl,1991.0,1.9910000000000017,2.0
https://www.tudelft.nl/en/staff/o.elgawhary/,1986.0,1.9859999999999878,4.0
https://online-learning.tudelft.nl,1982.0,1.9820000000000007,2.0
https://brightspace-support.tudelft.nl/tools-tu-delft/,1982.0,1.981999999999989,6.0
https://www.tudelft.nl/en/,1978.0,1.9780000000000002,3.0
https://www.tudelft.nl/onderwijs/opleidingen/masters/bme/msc-biomedical-engineering/contact/,1975.0,1.9749999999999874,9.0
https://www.tudelft.nl/en/tnw/bn/,1974.0,1.97399999999999,3.0
https://www.tudelft.nl/library/collecties/tu-delft-repository/,1972.0,1.9719999999999995,4.0
https://www.tudelft.nl/en/education/programmes/masters/aerospace-engineering/msc-aerospace-engineering/master-tracks/flight-performance-and-propulsion/,1969.0,1.9689999999999996,3.0
https://www.tudelft.nl/tbm/onderwijs/online-education/professional-education/,1965.0,1.9649999999999963,5.0
https://www.tudelft.nl/studenten/faculteiten/3me-studentenportal/onderwijs/bachelor/bsc-maritieme-techniek/,1959.0,1.9589999999999872,5.0
https://www.tudelft.nl/studenten/faculteiten/bk-studentenportal/onderwijs/formulieren/,1959.0,1.9589999999999672,5.0
https://sportsandculture.tudelft.nl/nl/home,1958.0,1.9579999999999511,11.0
https://brightspace-support.tudelft.nl/enrolling-and-unenrolling-for-courses/,1951.0,1.950999999999979,7.0
https://www.tudelft.nl/tnw/over-faculteit/contact-en-bereikbaarheid/,1945.0,1.944999999999972,11.0
http://www.qn.tudelft.nl,1944.0,1.943999999999976,4.0
https://www.tudelft.nl/library/collecties/normen-statistieken-en-meer/,1942.0,1.9419999999999555,11.0
https://www.tudelft.nl/en/student/education/brightspace/,1940.0,1.939999999999969,9.0
https://www.tudelft.nl/bk/over-faculteit/afdelingen/management-in-the-built-environment/,1936.0,1.9359999999999966,4.0
https://www.tudelft.nl/studenten/faculteiten/citg-studentenportal/onderwijs/master/transport-infrastructure-logistics/programme-2019-2020/1-fundamentals/,1935.0,1.934999999999998,2.0
https://www.tudelft.nl/3me/actueel/informatie-coronavirus/,1933.0,1.932999999999998,2.0
https://www.tudelft.nl/tbm/TheHague/,1923.0,1.9229999999999796,3.0
https://iamap.tudelft.nl/en/poi/applied-physics-faculty-of-applied-physics-2/,1916.0,1.915999999999955,17.0
http://staff.tudelft.nl/en/R.B.J.Brinkgreve/,1915.0,1.9149999999999892,4.0
https://www.tudelft.nl/tbm/over-de-faculteit/afdelingen/engineering-systems-and-services/people/associate-professors/dr-j-jafar-rezaei/,1914.0,1.913999999999992,5.0
http://www.tnw.tudelft.nl,1910.0,1.9099999999999793,3.0
http://www.bk.tudelft.nl,1910.0,1.9099999999999953,2.0
https://www.tudelft.nl/en/student/faculties/a-be-student-portal/education/forms/,1910.0,1.9099999999999675,6.0
http://www.tbm.tudelft.nl/en/,1903.0,1.9029999999999767,6.0
https://www.tudelft.nl/en/architecture-and-the-built-environment/research/research-at-bk-bouwkunde/urbanism/,1901.0,1.9009999999999798,3.0
https://www.tudelft.nl/studenten/faculteiten/lr-studentenportal/onderwijs/master/,1900.0,1.8999999999999801,5.0
http://staff.tudelft.nl/V.J.Meyer/,1900.0,1.899999999999988,3.0
http://staff.tudelft.nl/en/P.Palensky/,1898.0,1.8979999999999961,3.0
http://www.tbm.tudelft.nl,1887.0,1.8869999999999785,6.0
https://www.tudelft.nl/en/education/programmes/exchange/,1886.0,1.8859999999999857,5.0
https://www.tudelft.nl/library/bezoek-gebruik/faciliteiten-studieplekken/printen-kopieren/,1885.0,1.8849999999999907,8.0
https://www.tudelft.nl/en/student/faculties/eemcs-student-portal/organisation/academic-counsellors/,1885.0,1.884999999999977,7.0
http://staff.tudelft.nl/en/W.Zhang-3,1883.0,1.882999999999988,4.0
https://www.tudelft.nl/staff/f.messali/,1882.0,1.881999999999989,4.0
https://www.tudelft.nl/en/faculty-of-applied-sciences/education/minors-and-electives/communication-design-for-innovation-cdi/,1881.0,1.8809999999999953,2.0
https://www.tudelft.nl/citg/onderwijs/minors/geo-resources-for-the-future/,1881.0,1.880999999999985,6.0
http://staff.tudelft.nl/en/W.Sun-1/,1874.0,1.8739999999999868,3.0
https://www.tudelft.nl/index.php?id=7011,1873.0,1.8729999999999956,2.0
http://www.citg.tudelft.nl,1869.0,1.8689999999999884,3.0
https://www.tudelft.nl/onderwijs/opleidingen/minor/minors-in-rotterdam-of-leiden-lde/,1862.0,1.8619999999999581,7.0
https://www.tudelft.nl/en/faculty-of-applied-sciences/about-faculty/departments/bionanoscience/,1860.0,1.859999999999993,2.0
https://www.tudelft.nl/sustainability/,1860.0,1.859999999999994,2.0
https://www.tudelft.nl/en/library/,1859.0,1.858999999999994,2.0
https://www.tudelft.nl/2020/tu-delft/coronavirus/huidige-maatregelen/onderwijs/,1855.0,1.854999999999967,12.0
https://www.tudelft.nl/en/education/programmes/masters/civil-engineering/msc-civil-engineering/msc-programme/masters-theses-civil-engineering-and-geosciences/masters-theses-transport-planning/,1854.0,1.8539999999999948,3.0
https://www.tudelft.nl/index.php?id=9057,1849.0,1.8489999999999946,2.0
http://graduateschool.tudelft.nl,1845.0,1.8449999999999904,4.0
https://www.tudelft.nl/over-tu-delft/contact-en-bereikbaarheid/plattegrond-en-gebouwen/gebouw-21/,1844.0,1.843999999999963,11.0
https://www.tudelft.nl/en/student/faculties/a-be-student-portal/education/master-of-science/master-of-science-programme-architecture-urbanism-building-sciences/graduating/,1844.0,1.8439999999999888,5.0
https://www.tudelft.nl/onderwijs/opleidingen/masters/ae/msc-aerospace-engineering/master-tracks/aerospace-structures-materials/,1841.0,1.840999999999993,3.0
https://www.tudelft.nl/staff/t.konstantinou/,1840.0,1.8399999999999859,3.0
https://online-learning.tudelft.nl/courses/delft-design-approach/,1840.0,1.8399999999999903,5.0
http://ictmanuals.tudelft.nl,1822.0,1.8219999999999912,2.0
https://www.tudelft.nl/en/about-tu-delft/strategy/integrity-policy/human-research-ethics/,1822.0,1.8219999999999537,4.0
https://www.tudelft.nl/en/student/faculties/eemcs-student-portal/education/graduation-msc/,1816.0,1.815999999999975,10.0
https://www.tudelft.nl/onderwijs/opleidingen/bachelors/tn/bsc-technische-natuurkunde/kom-langs/,1815.0,1.8149999999999715,5.0
https://www.tudelft.nl/index.php?id=7012,1814.0,1.8139999999999932,2.0
https://www.tudelft.nl/index.php?id=7659,1811.0,1.8109999999999922,2.0
https://www.tudelft.nl/onderwijs/praktische-zaken/,1810.0,1.80999999999996,4.0
https://www.tudelft.nl/staff/j.m.c.mol/,1810.0,1.8099999999999903,3.0
https://www.tudelft.nl/studenten/ict/ict-voorzieningen/laptopproject/welke-laptop-voor-jouw-studie/laptopadvies-bouwkunde/,1809.0,1.8089999999999717,6.0
http://homepage.tudelft.nl/99s1c/,1808.0,1.8079999999999516,5.0
https://www.tudelft.nl/buren/,1808.0,1.807999999999992,2.0
https://www.tudelft.nl/stories/articles/veerkrachtig-watermanagement-in-india/,1798.0,1.7979999999999916,2.0
https://www.tudelft.nl/en/technology-transfer/,1796.0,1.7959999999999914,2.0
https://www.tudelft.nl/en/student/faculties/eemcs-student-portal/,1793.0,1.7929999999999755,9.0
https://www.tudelft.nl/studenten/faculteiten/citg-studentenportal/onderwijs/master/transport-infrastructure-logistics/,1789.0,1.7889999999999915,2.0
https://www.tudelft.nl/studenten/faculteiten/lr-studentenportal/onderwijs/bachelor/,1782.0,1.7819999999999716,4.0
https://www.tudelft.nl/en/education/programmes/masters/sustainable-energy-technology/msc-sustainable-energy-technology/,1777.0,1.776999999999957,7.0
https://www.tudelft.nl/en/student/faculties/eemcs-student-portal/education/rules-regulations/,1777.0,1.776999999999975,8.0
https://www.tudelft.nl/onderwijs/opleidingen/masters/gm/msc-geomatics/,1770.0,1.769999999999964,5.0
https://www.tudelft.nl/staff/m.j.santofimianavarro/,1766.0,1.7659999999999878,3.0
https://www.tudelft.nl/onderwijs/opleidingen/masters/ae/msc-aerospace-engineering/master-tracks/space-flight/,1766.0,1.7659999999999898,3.0
https://www.tudelft.nl/onderwijs/opleidingen/masters/sc/msc-systems-control/programme/programme-in-detail/,1765.0,1.7649999999999892,3.0
https://www.tudelft.nl/onderwijs/opleidingen/masters/ce/msc-computer-engineering/programme/,1765.0,1.7649999999999617,6.0
https://www.tudelft.nl/onderwijs/opleidingen/masters/mot/msc-management-of-technology/programme/,1764.0,1.7639999999999891,3.0
https://www.tudelft.nl/onderwijs/opleidingen/masters/es/msc-embedded-systems/programme/,1757.0,1.7569999999999628,5.0
http://staff.tudelft.nl/en/M.A.M.M.vanderMeijden/,1755.0,1.7549999999999892,3.0
https://www.tudelft.nl/staff/j.sietsma/,1752.0,1.7519999999999885,3.0
https://www.tudelft.nl/en/education/programmes/post-academic-professionals/,1749.0,1.7489999999999624,8.0
https://www.tudelft.nl/?id=27147,1748.0,1.7479999999999876,2.0
https://www.tudelft.nl/en/faculty-of-applied-sciences/about-faculty/departments/imphys/people/florian-bociort/,1748.0,1.747999999999988,2.0
https://www.tudelft.nl/onderwijs/opleidingen/masters/epa/msc-engineering-and-policy-analysis/contact/,1747.0,1.7469999999999892,3.0
https://www.tudelft.nl/citg/over-de-faculteit/afdelingen/geoscience-remote-sensing/education/track-geoscience-and-remote-sensing/,1744.0,1.7439999999999882,2.0
https://www.tudelft.nl/studenten/faculteiten/ewi-studentenportal/onderwijs/schakelprogrammas/,1738.0,1.7379999999999765,7.0
https://www.tudelft.nl/library/over-the-library/tu-delft-library-presenteert/virtual-exhibition-redesign-death/,1737.0,1.7369999999999843,11.0
https://www.tudelft.nl/staff/j.dik/,1734.0,1.7339999999999884,3.0
https://www.tudelft.nl/en/student/faculties/eemcs-student-portal/education/graduation-msc/assessment/,1733.0,1.7329999999999757,8.0
https://www.tudelft.nl/en/student/faculties/eemcs-student-portal/education/graduation-msc/assessment/thesis-assessment/,1731.0,1.7309999999999788,7.0
https://www.tudelft.nl/onderwijs/opleidingen/masters/ae/msc-aerospace-engineering/master-tracks/space-flight/programme/space-engineering-profile/,1728.0,1.727999999999988,3.0
https://www.tudelft.nl/studenten/onderwijs/brightspace/,1726.0,1.725999999999962,7.0
https://www.tudelft.nl/library/collecties/wegwijs-in-de-collecties/,1725.0,1.7249999999999812,8.0
https://www.tudelft.nl/studenten/begeleiding/career-counselling-services/career-centre/,1716.0,1.715999999999984,3.0
http://www.3me.tudelft.nl/en/,1711.0,1.7109999999999872,2.0
https://www.tudelft.nl/index.php?id=23498,1708.0,1.7079999999999824,3.0
https://www.tudelft.nl/over-tu-delft/organisatie/universiteitsdienst/,1704.0,1.7039999999999857,3.0
https://www.tudelft.nl/tnw/?id=33083,1704.0,1.703999999999977,3.0
https://www.tudelft.nl/index.php?id=8111,1703.0,1.7029999999999843,4.0
https://www.tudelft.nl/onderwijs/opleidingen/masters/ae/msc-aerospace-engineering/master-tracks/aerodynamics-wind-energy/,1697.0,1.6969999999999876,3.0
https://www.tudelft.nl/index.php?id=17928,1696.0,1.695999999999986,2.0
http://masterevent.tudelft.nl,1692.0,1.6919999999999837,4.0
http://laptopproject.tudelft.nl,1690.0,1.6899999999999857,4.0
https://www.tudelft.nl/en/education/practical-matters/,1689.0,1.6889999999999634,4.0
https://www.tudelft.nl/studenten/onderwijs/welkom-nieuwe-student/welkom-op-de-tu-delft/,1689.0,1.6889999999999705,4.0
https://www.tudelft.nl/duwind/people/,1689.0,1.6889999999999654,5.0
http://www.rst.tudelft.nl,1687.0,1.686999999999986,2.0
https://www.tudelft.nl/staff/f.d.vanderhoeven/,1686.0,1.685999999999986,3.0
https://www.tudelft.nl/en/ceg/about-faculty/departments/transport-planning/staff/personal-pages/goverde-rmp/,1684.0,1.683999999999987,2.0
https://www.tudelft.nl/actueel/laatste-nieuws/,1684.0,1.6839999999999857,3.0
http://staff.tudelft.nl/G.Jongbloed/,1682.0,1.6819999999999873,2.0
https://www.tudelft.nl/en/student/faculties/ide/education/msc-graduation/deliverables/,1675.0,1.6749999999999607,5.0
https://www.tudelft.nl/staff/s.m.a.sedighi/,1675.0,1.6749999999999843,3.0
https://repository.tudelft.nl/content/education-upload-tips,1674.0,1.673999999999987,2.0
https://www.tudelft.nl/en/eemcs/the-faculty/departments/applied-mathematics/,1671.0,1.6709999999999863,2.0
http://www.alg.ewi.tudelft.nl/weerdt/,1670.0,1.669999999999985,2.0
https://www.tudelft.nl/3me/afdelingen/materials-science-and-engineering/research/corrosion-technology-and-electrochemistry/people/kleopatra-papamichou/,1669.0,1.6689999999999883,2.0
http://homepage.tudelft.nl/0p6y8/,1668.0,1.6679999999999855,2.0
http://books.bk.tudelft.nl/index.php/press/catalog/category/URB,1668.0,1.667999999999987,2.0
http://studenten.tudelft.nl/en/eemcs/international-office-internship-office/,1667.0,1.666999999999982,4.0
https://www.tudelft.nl/en/3me/departments/materials-science-and-engineering/research/corrosion-technology-and-electrochemistry/people/maxine-ankora/,1665.0,1.6649999999999878,2.0
http://www.citg.tudelft.nl/en/,1664.0,1.6639999999999813,3.0
http://adhok.bk.tudelft.nl/laptop/,1662.0,1.6619999999999648,7.0
http://staff.tudelft.nl/J.J.Cai,1662.0,1.6619999999999868,2.0
https://www.tudelft.nl/en/student/counselling/career-counselling-services/career-centre/,1661.0,1.6609999999999825,3.0
https://www.tudelft.nl/3me/afdelingen/maritime-and-transport-technology/people/ship-hydromechanics/,1659.0,1.6589999999999872,2.0
https://www.tudelft.nl/en/library/collections/tu-delft-patent-portfolio/,1659.0,1.6589999999999845,2.0
https://www.tudelft.nl/en/2017/tu-delft/discover-the-science-and-complexity-behind-railway-systems/,1658.0,1.657999999999963,7.0
https://www.tudelft.nl/en/eemcs/the-faculty/departments/electrical-sustainable-energy/intelligent-electrical-power-grids/,1658.0,1.6579999999999815,3.0
http://railahead.tudelft.nl/education/,1656.0,1.6559999999999744,5.0
http://me.msc.tudelft.nl,1650.0,1.6499999999999826,4.0
http://www.bt.tudelft.nl,1648.0,1.647999999999984,2.0
https://www.tudelft.nl/staff/e.mendes/?cHash=44c85b4b780d754fbc51c82c74104cf9,1637.0,1.6369999999999625,4.0
https://www.tudelft.nl/onderwijs/opleidingen/masters/ae/msc-aerospace-engineering/,1623.0,1.6229999999999845,3.0
http://www.st.ewi.tudelft.nl/mtjspaan/,1622.0,1.6219999999999681,4.0
https://www.tudelft.nl/onderwijs/toelating-en-aanmelding/exchange-students/1-requirements-documents/,1619.0,1.618999999999982,4.0
https://www.tudelft.nl/index.php?id=8209,1618.0,1.6179999999999812,4.0
https://www.tudelft.nl/onderwijs/voorlichting-en-ervaren/,1611.0,1.6109999999999833,3.0
https://www.tudelft.nl/onderwijs/opleidingen/masters/epa/msc-engineering-and-policy-analysis/finances/,1601.0,1.6009999999999809,5.0
http://www.ewi.tudelft.nl/en/,1591.0,1.5909999999999793,3.0
https://www.tudelft.nl/3me/over/afdelingen/maritime-and-transport-technology/people/ship-and-offshore-structures/t-keizer-msc/,1590.0,1.589999999999964,3.0
https://www.tudelft.nl/onderwijs/opleidingen/minor/,1577.0,1.5769999999999815,4.0
https://www.tudelft.nl/staff/l.o.voormeeren/,1574.0,1.573999999999964,4.0
http://studenten.tudelft.nl,1567.0,1.5669999999999815,5.0
http://staff.tudelft.nl/en/M.A.Hicks,1567.0,1.5669999999999635,4.0
https://www.tudelft.nl/onderwijs/opleidingen/masters/cosem/msc-complex-systems-engineering-and-management/finances/,1566.0,1.5659999999999834,5.0
https://www.tudelft.nl/en/education/programmes/masters/mechanical-engineering/msc-mechanical-engineering/track-overview/track-energy-process-technology/,1565.0,1.5649999999999658,5.0
https://www.tudelft.nl/onderwijs/opleidingen/bachelors/ee/bsc-electrical-engineering/,1564.0,1.5639999999999818,4.0
https://www.tudelft.nl/en/ewi/,1562.0,1.5619999999999794,3.0
https://www.tudelft.nl/en/faculty-of-applied-sciences/about-faculty/departments/chemical-engineering/research-themes/materials-and-polymers/,1549.0,1.548999999999966,3.0
https://www.tudelft.nl/studenten/faculteiten/bk-studentenportal/onderwijs/master-of-science/masteropleiding-architecture-urbanism-building-sciences/elective-design-projects/,1545.0,1.54499999999997,5.0
https://www.tudelft.nl/en/education/admission-and-application/bsc-international-diploma/1-admission-requirements/,1544.0,1.5439999999999807,4.0
https://www.tudelft.nl/onderwijs/opleidingen/minor/individueel-samengestelde-minor/,1540.0,1.5399999999999805,4.0
https://www.tudelft.nl/bk/studeren/minoren-en-keuzevakken/architecture-presentation-visions-reviewed/,1539.0,1.5389999999999764,6.0
https://sportsandculture.tudelft.nl/nl/bookings/view/new,1537.0,1.536999999999975,8.0
https://www.tudelft.nl/studenten/faculteiten/bk-studentenportal/onderwijs/intekening-en-svo/,1534.0,1.5339999999999716,6.0
https://www.tudelft.nl/studenten/ict/ict-voorzieningen/printen-scannen-en-kopieren/,1532.0,1.5319999999999812,3.0
https://www.tudelft.nl/en/tu-delft-student-portal/ict/help/vpn-openvpn/,1532.0,1.5319999999999814,3.0
https://www.tudelft.nl/en/student/faculties/a-be-student-portal/education/exchange/student-exchange/what-is-exchange/,1524.0,1.5239999999999707,6.0
https://databases.tudl.tudelft.nl/?t=az,1524.0,1.5239999999999647,9.0
https://www.tudelft.nl/en/about-tu-delft/working-at-tu-delft/jobs/,1519.0,1.518999999999983,4.0
https://www.tudelft.nl/en/staff/j.l.a.dubbeldam,1518.0,1.517999999999982,2.0
https://www.tudelft.nl/en/education/programmes/masters/?lookup%5B99822%5D%5Bfilter%5D%5B25%5D%5B88%5D=88,1518.0,1.5179999999999811,5.0
http://www.3me.tudelft.nl,1514.0,1.5139999999999814,2.0
https://www.tudelft.nl/onderwijs/praktische-zaken/scholarships/,1513.0,1.5129999999999808,3.0
http://tulib.tudelft.nl/publishing/copyright/,1512.0,1.5119999999999847,2.0
https://www.tudelft.nl/tbm/over-de-faculteit/afdelingen/values-technology-and-innovation/people/full-professors/profdr-mj-jeroen-van-den-hoven/,1510.0,1.5099999999999676,4.0
https://www.tudelft.nl/bk/studeren/beroepservaring/,1510.0,1.509999999999981,2.0
https://www.tudelft.nl/tbm/over-de-faculteit/afdelingen/values-technology-and-innovation/sections/ethicsphilosophy-of-technology/,1507.0,1.5069999999999824,2.0
https://www.tudelft.nl/tnw/,1507.0,1.5069999999999804,2.0
